1.930000000000001270e+00 3.938386440524441756e-01 2.349970717786549826e-02
1.940000000000001279e+00 4.245492040847415605e-01 2.383626636115309880e-02
1.950000000000001288e+00 4.576511034757854146e-01 2.415863181364565418e-02
1.960000000000001297e+00 4.933386356184953359e-01 2.446897610463972042e-02
1.970000000000000862e+00 5.316275271784278722e-01 2.476211662953701001e-02
1.980000000000000870e+00 5.725117114571252053e-01 2.502955443370670843e-02
1.990000000000001545e+00 6.160550572629370780e-01 2.526214000222763365e-02
2.000000000000001332e+00 6.623748503919286712e-01 2.544774383780798802e-02
2.010000000000001119e+00 7.116300753233990584e-01 2.557367646651287352e-02
2.020000000000001350e+00 7.642400753330839125e-01 2.563190146881393072e-02
2.030000000000001137e+00 8.207506488514912935e-01 2.561784263672166675e-02
2.040000000000001368e+00 8.815146559135735860e-01 2.552240272113183092e-02
2.050000000000001155e+00 9.464980225676227210e-01 2.532388794971397739e-02
2.060000000000001830e+00 1.015625041919092197e+00 2.499927834818897396e-02
2.070000000000000728e+00 1.088861775610003413e+00 2.453285096055259420e-02
2.080000000000001403e+00 1.166182356690958599e+00 2.391471998372488375e-02
2.090000000000001190e+00 1.247533377311808911e+00 2.313406581053450983e-02
2.100000000000001421e+00 1.332789581006808888e+00 2.217408901503716348e-02
2.110000000000001208e+00 1.421791810520511401e+00 2.101885619092487209e-02
2.120000000000001439e+00 1.514302793415979842e+00 1.965849822777707492e-02
2.130000000000001226e+00 1.610063662839837262e+00 1.809676384568363258e-02
2.140000000000001013e+00 1.708716251689865739e+00 1.636472189942523442e-02
2.150000000000001688e+00 1.809380835271723775e+00 1.454146104434918783e-02
2.160000000000001474e+00 1.910994072374031294e+00 1.277893211945389275e-02
2.170000000000001261e+00 2.011963143279043909e+00 1.137151305560530484e-02
2.180000000000001492e+00 2.110284580562011403e+00 1.075290524094254553e-02
2.190000000000001279e+00 2.203995232416869232e+00 1.129500942566717160e-02
2.200000000000001510e+00 2.291554739028887955e+00 1.301773746422452832e-02
2.210000000000001297e+00 2.371557206869982171e+00 1.562203288589969659e-02
2.220000000000001972e+00 2.442848876708792361e+00 1.876560008051159772e-02
2.230000000000000870e+00 2.504431823786569922e+00 2.218599439971974743e-02
2.240000000000001545e+00 2.555366563925096202e+00 2.569743380051511469e-02
2.250000000000001332e+00 2.594884440334187303e+00 2.916484998907847501e-02
2.260000000000001563e+00 2.622201038691347907e+00 3.248005153618947066e-02
2.270000000000001350e+00 2.636766659418878778e+00 3.555376006379520892e-02
2.280000000000001581e+00 2.638499839247161471e+00 3.830726860150504565e-02
2.290000000000001368e+00 2.627567584376989451e+00 4.066579915902158310e-02
2.300000000000001155e+00 2.604863664332586204e+00 4.256983636468465032e-02
2.310000000000001830e+00 2.571518935518279037e+00 4.396670940438295733e-02
2.320000000000001616e+00 2.528945348082186850e+00 4.484789614727551638e-02
2.330000000000001403e+00 2.478720964183773745e+00 4.525676418595586670e-02
2.340000000000001634e+00 2.422248537814355007e+00 4.523718279704799783e-02
2.350000000000001421e+00 2.360566367310370950e+00 4.481310767875939377e-02
2.360000000000001652e+00 2.294685904223125572e+00 4.400386784982115995e-02
2.370000000000001439e+00 2.225679603557232600e+00 4.284668796172474980e-02
2.380000000000002114e+00 2.154638310502876131e+00 4.140210588805540853e-02
2.390000000000001013e+00 2.082768031981883539e+00 3.973246192111324487e-02
2.400000000000001688e+00 2.011285747165250992e+00 3.789387654355926699e-02
