2.270000000000001350e+00 4.012944792974142416e-01 4.431725085089375724e-03
2.280000000000001581e+00 4.056098585692293201e-01 4.501317803805564982e-03
2.290000000000001368e+00 4.105955579393305577e-01 4.591356528592462766e-03
2.300000000000001599e+00 4.160306556199418471e-01 4.705443124035271762e-03
2.310000000000001386e+00 4.216738360095041993e-01 4.837437451718031890e-03
2.320000000000001616e+00 4.274791432656623869e-01 4.964678977949960742e-03
2.330000000000001403e+00 4.334849271639580337e-01 5.047368492771247411e-03
2.340000000000001634e+00 4.395984970164923955e-01 5.058133664724270666e-03
2.350000000000001421e+00 4.457622937323350021e-01 5.029363696005150451e-03
2.360000000000001652e+00 4.519990902822154100e-01 4.994657215256805005e-03
2.370000000000001439e+00 4.583662314717668052e-01 4.961732067716326418e-03
2.380000000000001670e+00 4.649022439192080358e-01 4.937113846513884081e-03
2.390000000000001457e+00 4.717743399596131537e-01 4.933194768028183706e-03
2.400000000000001688e+00 4.793384528754180418e-01 4.961520910727322195e-03
2.410000000000001474e+00 4.879327581967906058e-01 5.030858310093608808e-03
2.420000000000001705e+00 4.975847433515882545e-01 5.137664664275948603e-03
2.430000000000001492e+00 5.080851388509470823e-01 5.263307811005591731e-03
2.440000000000001723e+00 5.192111002075620041e-01 5.392021736172980528e-03
2.450000000000001510e+00 5.308325278464640640e-01 5.529533943464190124e-03
2.460000000000001741e+00 5.429083159938037362e-01 5.690328632417729002e-03
2.470000000000001528e+00 5.555892140563071235e-01 5.879141053013656887e-03
2.480000000000001759e+00 5.690898396239096879e-01 6.084515675697289329e-03
2.490000000000001545e+00 5.835242341756260442e-01 6.294417832947114128e-03
2.500000000000001776e+00 5.988711946130091945e-01 6.505149529457684293e-03
2.510000000000001563e+00 6.150713649564056862e-01 6.716957927129839009e-03
2.520000000000001794e+00 6.319736775673170381e-01 6.929648420306465904e-03
2.530000000000001581e+00 6.493909987709192144e-01 7.141564565529552426e-03
2.540000000000001812e+00 6.672423023021508692e-01 7.350180037449595936e-03
2.550000000000001599e+00 6.855821095174876589e-01 7.555097957766815711e-03
2.560000000000001830e+00 7.044767946538869063e-01 7.757200748269158126e-03
2.570000000000001616e+00 7.240352381447194841e-01 7.957657826866713913e-03
2.580000000000001847e+00 7.444512464118890893e-01 8.157611797136166479e-03
2.590000000000001634e+00 7.658176645911863867e-01 8.358397930477120749e-03
2.600000000000001865e+00 7.880788935341901391e-01 8.565758006558604060e-03
